CANVAS[10736] bounds(104,3111/861,4076) rotate(-260.2)
CANVAS[10736] bounds(108,3112/861,4080) rotate(-261.0)
CANVAS[10736] bounds(112,3536/906,4274) rotate(-213.1)
CANVAS[10736] bounds(16,3341/449,3923) rotate(86.0)
CANVAS[10736] bounds(173,3573/718,4293) rotate(-263.9)
CANVAS[10736] bounds(20,3423/801,4239) rotate(-232.4)
CANVAS[10736] bounds(227,3561/726,4250) rotate(-271.9)
CANVAS[10736] bounds(234,3335/893,4024) rotate(52.6)
CANVAS[10736] bounds(257,3568/744,4243) rotate(-268.3)
CANVAS[10736] bounds(275,3466/901,4260) rotate(100.3)
CANVAS[10736] bounds(277,3471/893,4257) rotate(99.6)
CANVAS[10736] bounds(31,3385/758,4327) rotate(98.1)
CANVAS[10736] bounds(33,3372/431,3912) rotate(86.6)
CANVAS[10736] bounds(38,3633/479,4257) rotate(89.9)
CANVAS[10736] bounds(494,3375/979,3991) rotate(80.1)
CANVAS[10736] bounds(58,3432/836,4259) rotate(-235.0)
CANVAS[10736] bounds(87,3486/884,4347) rotate(-237.7)
CANVAS[10736] bounds(89,3419/907,4310) rotate(-238.6)
CANVAS[10736] bounds(91,3435/485,3991) rotate(90.7)
CANVAS[6627] bounds(0,2160/3840,4320) rotate(0.0)
CANVAS[6628] bounds(3840,2160/5760,3240) rotate(0.0)
CANVAS[6629] bounds(-1920,2160/0,3240) rotate(0.0)
CANVAS[6630] bounds(0,2160/3840,4320) rotate(0.0)
CANVAS[6631] bounds(960,1080/2880,2160) rotate(0.0)
CANVAS[7412] bounds(1775,3631/2415,4114) rotate(-0.5)
CANVAS[7412] bounds(1778,3640/2392,4107) rotate(-2.4)
CANVAS[7412] bounds(1813,3508/2582,4105) rotate(4.1)
CANVAS[7412] bounds(1813,3510/2574,4102) rotate(4.2)
CANVAS[7412] bounds(1828,3513/2454,3978) rotate(0.3)
CANVAS[7412] bounds(1869,3611/2560,4138) rotate(2.8)
CANVAS[7412] bounds(2013,3373/2976,4162) rotate(11.3)
CANVAS[7412] bounds(2079,3429/2918,4100) rotate(8.1)
CANVAS[7412] bounds(2178,3848/2723,4275) rotate(5.2)
CANVAS[7412] bounds(2234,3434/2979,4103) rotate(25.0)
CANVAS[7412] bounds(2252,3757/2888,4238) rotate(-1.0)
CANVAS[7412] bounds(2258,3471/3001,4041) rotate(3.5)
